#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	Matric	Priori	Special
140 35 37 93 32 6 11 1 1 54 50 92 2 1 
141 36 38 60 40 3 2 2 1 30 50 57 1 1 
142 36 38 60 40 3 3 2 1 30 50 57 1 1 
143 36 38 60 40 5 2 2 1 30 50 57 1 1 
144 36 38 60 40 5 3 2 1 30 50 57 1 1 
145 37 39 178 18 2 2 4 1 115 40 19 1 1 
146 37 39 178 18 2 3 4 1 115 40 19 1 1 
147 37 39 178 18 2 4 4 1 115 40 19 1 1 
148 37 39 178 18 2 5 4 1 115 40 19 1 1 
149 37 39 178 18 2 6 4 1 115 40 19 1 1 
150 37 39 178 18 2 1 4 1 115 40 19 1 1 
155 39 41 79 40 4 14 2 1 51 45 58 1 1 
156 39 41 79 40 4 15 2 1 51 45 58 1 1 
157 39 41 79 40 4 16 15 2 -1 45 58 1 1 
158 39 41 79 40 4 17 15 2 -1 45 58 1 1 
159 39 41 79 40 6 14 15 2 -1 45 58 1 1 
160 39 41 79 40 6 15 15 2 -1 45 58 1 1 
161 39 41 79 40 6 16 2 1 51 45 58 1 1 
162 39 41 79 40 6 17 2 1 51 45 58 1 1 
163 40 42 167 29 3 4 5 1 90 15 15 1 1 
164 40 42 167 29 3 5 5 1 85 15 15 1 1 
165 40 42 167 29 3 6 5 1 60 15 15 1 1 
166 40 42 167 29 4 4 5 1 60 15 15 1 1 
167 40 42 167 29 4 5 5 1 148 15 15 1 1 
168 40 42 167 29 4 6 5 1 148 15 15 1 1 
169 40 42 167 29 5 4 5 1 148 15 15 1 1 
170 40 42 167 29 5 5 5 1 148 15 15 1 1 
171 40 42 167 29 5 6 5 1 148 15 15 1 1 
172 41 43 40 13 4 14 2 2 4 60 46 1 1 
173 41 43 40 13 4 15 2 2 4 60 46 1 1 
174 41 43 40 13 4 16 2 2 -1 60 46 1 1 
175 41 43 40 13 4 17 2 2 -1 60 46 1 1 
176 42 44 19 38 2 16 2 1 43 60 28 1 1 
177 42 44 19 38 2 17 2 1 43 60 28 1 1 
178 43 45 41 13 4 4 2 1 38 48 39 1 1 
179 43 45 41 13 4 5 2 1 38 48 39 1 1 
