#ID	Group	Course	Vacanc	Matric	Priori	Special	Name
1287	372	73	25	12	1	1	Morfologia E Taxonomia Vegetal
1288	423	170	25	20	1	1	Desenho Básico
1290	120	87	50	35	1	1	Bioquímica
1291	364	35	40	33	1	1	Biogeografia
1292	12	156	15	21	2	1	Métodos Analíticos Em Biomedicina
1293	158	83	40	34	1	1	Legislação E Exercício Profissional
1294	267	166	50	40	1	1	Química Orgânica
1295	220	43	60	52	2	1	Comportamento Do Consumidor
1296	61	180	11	11	1	1	Tutorial Em Saúde Iii
1297	72	180	9	9	1	1	Tutorial Em Saúde Ii
1298	193	35	30	11	1	1	Trabalho De Conclusão De Curso I
1299	186	157	48	36	1	1	Biologia Celular
1300	251	167	20	24	1	1	Corpo Humano Saudável I
1302	515	54	35	52	3	1	A Morte E O Morrer Em Debate: Temas Atuais
1303	446	40	50	28	1	1	Ciência Política
1304	447	69	45	47	1	1	Sociologia
1305	206	41	48	37	1	1	Pesquisa Aplicada A Contabilidade
1306	237	74	40	10	1	1	Integração 1
1307	97	19	110	64	1	1	Cálculo De Funções De Várias Variáveis
1308	82	93	55	40	1	1	Fundamentos De Sistemática Biológica
1309	123	154	45	47	2	1	Lasers  Princípios E Aplicações Biomédicas
1311	27	157	40	43	1	1	Cálculo 1c
1312	210	157	20	17	1	1	Bioestatística
1313	184	13	20	18	1	1	Topologia
1314	144	152	45	9	2	1	Lógica Ii
1318	187	93	50	54	1	1	Biologia Da Conservação
1319	144	152	50	22	1	1	Tópicos De Ontologia E Metafísica
1320	330	76	30	1	1	1	Química Geral B
1323	449	76	30	26	2	1	Combustíveis E Energia 1
1324	51	110	50	43	1	1	Lógica
1326	144	152	50	43	1	1	Filosofia Moderna I
1328	225	158	32	38	1	1	Bioquímica I
1329	168	158	20	7	1	1	Taxonomia E Ecologia De Fungos
1331	118	167	20	22	1	1	Corpo Humano Saudável I
1332	379	20	50	14	1	1	Políticas Educacionais No Brasil
1333	93	18	60	63	1	1	Teoria E Metodologia Da Geografia I
1334	202	19	40	43	1	1	Equações Diferenciais Ordinárias I
1336	143	137	25	14	1	1	Laboratório De Relações Internacionais Ii
1338	167	142	50	12	1	1	Realidade Brasileira Do Campo
1340	263	77	25	20	1	1	Estatística I
1341	29	157	30	27	1	1	Trabalho De Conclusão De Curso I
1342	34	12	50	50	1	1	Economia E Energia
1346	326	167	15	10	1	1	Atenção Integral À Saúde Da Mulher E Da Criança I
1347	34	12	45	18	1	1	Microeconomia I
1348	410	60	45	23	1	1	Sistemas Distribuídos
1349	22	5	30	27	1	1	Produção De Texto Jornalístico I
1350	152	79	60	21	1	1	Engenharia De Software
1351	452	105	40	19	1	1	Espaços Museais E Arquitetura De Museus
1352	123	154	45	30	1	1	Introdução À Física Nuclear E De Partículas
1353	98	161	40	26	1	1	Marketing Em Alimentação E Nutrição
1355	152	79	23	22	1	1	Sistemas Operacionais
1356	453	119	40	16	1	1	Estatística Aplicada Às Ciências Sociais
1359	454	120	40	25	1	1	Ciência Política V
1362	171	179	40	27	1	1	Antropologia Da Sociedade Brasileira
1367	176	79	50	11	1	1	Pesquisa Operacional
1369	457	36	30	23	1	1	Hidrologia
1370	117	93	25	31	1	1	Ecofisiologia Vegetal
1373	156	40	50	47	1	1	Empreendedorismo Ii
1376	206	41	40	30	1	1	Prática E Estágio Contábil I
1378	458	120	40	13	1	1	Laboratório De Prática De Ensino I
1379	154	76	30	33	1	1	Operações Unitárias 1
1380	68	88	45	7	1	1	Trabalho De Conclusão De Curso Iii
1381	153	87	50	51	1	1	Cálculo 3a
1384	299	154	60	54	1	1	Cálculo 1a
1385	145	133	45	7	1	1	Fenômenos De Transporte Para Engenharia Física
1387	442	81	30	25	1	1	Análise De Bacias Hidrográficas
1389	459	130	30	27	1	1	Anatomia Humana
1390	302	74	40	36	1	1	Experiência Do Usuário De Software
1391	131	12	45	39	1	1	Contabilidade Social
1392	117	93	50	48	1	1	Ecologia De Ecossistemas
1393	111	79	60	35	1	1	Algoritmos E Estruturas De Dados 2
1394	150	95	50	52	1	1	Usos E Usuários Da Informação
1395	165	158	30	32	1	1	Genética
1396	332	105	40	34	1	1	Museologia Ii
1397	381	166	40	40	1	1	Morfologia E Taxonomia Vegetal
1400	68	88	45	42	1	1	Trabalho De Conclusão De Curso I
1401	144	152	65	51	1	1	Ética
1402	93	18	41	43	1	1	Teoria E Metodologia Da Geografia I
1403	460	8	50	30	1	1	Cálculo Dif. E Integral E Geometria Analítica Iii
1405	43	41	48	39	1	1	Introdução À Teoria Da Contabilidade
1406	302	74	40	29	1	1	Software Concorrente E Distribuído
1407	156	40	50	69	1	1	Administração Pública, Estado E Sociedade
1409	156	40	50	58	1	1	Gestão De Pessoas I
1410	351	60	45	27	1	1	Linguagens Formais E Autômatos
1411	36	60	40	37	1	1	Engenharia De Requisitos
1412	310	43	50	2	1	1	Trabalho De Conclusão De Curso Ii
1413	275	18	40	25	2	1	Formação Do Território Brasileiro
1414	313	60	60	42	1	1	Lógica Matemática
1415	42	19	60	42	1	1	Fundamentos De Matemática
1417	144	152	65	50	1	1	Filosofia Antiga
1418	72	180	9	8	1	1	Tutorial Em Saúde Ii
1419	136	158	35	34	1	1	Física Aplicada À Biologia
1420	389	4	50	36	2	1	Jornalismo Especializado
1421	10	142	15	9	1	1	Ciências Da Natureza - Fisica I
1423	107	53	45	46	1	1	Patologia Geral
1424	461	77	15	12	1	1	Probabilidade I
1425	142	74	60	53	1	1	Fundamentos De Matemática Para Computação
1426	177	87	35	45	1	1	Álgebra Linear
1427	10	142	15	7	1	1	Ciências Da Natureza - Biologia Ii
1428	276	158	40	24	1	1	Psicologia Da Educação Ii
1430	462	179	40	38	2	1	Tópicos De Sociologia I
1432	463	93	45	46	1	1	Análise De Bacias Hidrográficas
1441	93	18	60	72	1	1	Geografia Agrária I
1442	168	158	35	13	2	1	Educação Em Saúde
1444	29	157	30	9	1	1	Trabalho De Conclusão De Curso Ii
1446	464	19	60	8	1	1	Cálculo Integral
1447	428	166	50	57	1	1	Bioquímica De Biomoléculas
1448	107	53	18	6	1	1	Bacteriologia Humana
1449	83	60	60	50	1	1	Computação E Sociedade
1450	305	79	45	22	2	1	Sistemas De Apoio À Decisão
1451	427	73	40	38	1	1	Bioquímica De Biomoléculas
1452	194	8	68	80	1	1	Microbiologia Básica
1454	156	40	50	34	1	1	Gestão De Pessoas Ii
1456	466	54	20	24	3	1	Gestalt E Grupos
1458	13	43	60	56	1	1	Iniciação Acadêmica  Práticas De Pesquisa
1459	8	161	44	38	3	1	Fundamentos Teórico-Práticos Do Sus
1460	117	93	50	46	1	1	Ecofisiologia Vegetal
1461	283	158	15	11	1	1	Estágio Curricular Obrigatório I
1463	266	167	15	16	1	1	Método Clínico Iii
1466	372	73	25	30	1	1	Morfologia E Taxonomia Vegetal
1467	156	40	50	35	1	1	Marketing I
1468	282	179	50	38	1	1	Avaliação De Políticas Públicas
1469	234	79	50	22	1	1	Auditoria De Sistemas
1470	99	155	45	27	1	1	Fundamentos Filosóficos E Sócio-Hist. Da Educação
1471	225	158	40	33	1	1	Biofísica
1472	137	88	28	27	1	1	Saúde Mental I
1474	56	155	45	19	1	1	Psicologia Da Educação Ii
1475	372	73	50	40	1	1	Física Ii
1477	156	40	55	54	1	1	Responsabilidade Socioambiental Corporativa
